Objectid,Division,District_name,Dist_Code,"Confirmed_cases 
Upto 05 April","Confirmed_cases 
Upto 06 April","Confirmed_cases 
Upto 07 April",Confirmed_cases Upto 08 April,Confirmed_cases Upto 09 April,Confirmed_cases Upto 11 April,Confirmed_cases Upto 13 April,Confirmed_cases Upto 14 April,Confirmed_cases Upto 15 April,Confirmed_cases Upto 16 April,Confirmed_cases Upto 17 April,Confirmed_cases Upto 18 April,Confirmed_cases Upto 19 April,Confirmed_cases Upto 20 April,Confirmed_cases Upto 21 April,Confirmed_cases Upto 22 April,Confirmed_cases Upto 23 April,"Recovered_cases
Upto 23 April",Confirmed_cases Upto 24 April,Confirmed_cases Upto 25 April,Confirmed_cases Upto 26 April,"Recovered_cases
Upto 26 April",Confirmed_cases Upto 27 April,"Death_cases
Upto 27 April","Recovered_cases
Upto 27 April",Confirmed_cases Upto 28 April,"Death_cases
Upto 28 April","Recovered_cases
Upto 28 April",Confirmed_cases Upto 29 April,"Death_cases
Upto 29 April",Confirmed_cases Upto 30 April,"Death_cases
Upto 30 April",Confirmed_cases Upto 01 May,"Death_cases
Upto 01 May",Confirmed_cases Upto 02 May,"Death_cases
Upto 02 May",Confirmed_cases Upto 03 May,"Death_cases
Upto 03 May",Confirmed_cases Upto 04 May,"Death_cases
Upto 04 May",Confirmed_cases Upto 05 May,"Death_cases
Upto 05 May",Confirmed_cases Upto 06 May,"Death_cases
Upto 06 May",Confirmed_cases Upto 07 May,Confirmed_cases Upto 08 May,Confirmed_cases Upto 09 May,Confirmed_cases Upto 10 May,Confirmed_cases Upto 11 May,Confirmed_cases Upto 12 May,Confirmed_cases Upto 14 May,Confirmed_cases Upto 15 May,Confirmed_cases Upto 16 May,Confirmed_cases Upto 17 May,Confirmed_cases Upto 19 May,Confirmed_cases Upto 20 May,Confirmed_cases Upto 24 May,Confirmed_cases Upto 01 June,Confirmed_cases Upto 08 June
13,Dhaka,Dhaka,3026,54,64,90,129,209,270,401,484,546,636,768,877,1014,1216,1277,1522,1736,69,2124,2299,2564,77,2802,79,77,3095,82,77,3518,88,3850,92,4082,93,4419,98,4609,98,4895,101,5357,101,5842,103,6081,6365,6629,6868,7509,7922,8490,8845,9190,9855,10878,12386,13797,16922,21717
9,Chittagong,Chittagong,2015,1,1,3,3,9,8,18,20,31,36,37,38,39,43,41,42,45,2,45,46,48,1,56,2,2,67,2,2,70,2,74,2,75,2,78,2,80,2,82,2,105,2,112,2,140,159,207,220,266,314,497,553,619,695,940,1100,1556,2288,2998
42,Dhaka,Narayanganj,3067,11,23,38,46,59,83,144,164,214,255,289,309,386,387,469,508,532,19,566,594,625,25,699,39,25,849,39,25,863,39,923,39,966,39,987,39,1007,40,1021,40,1055,40,1072,41,1078,1136,1177,1198,1243,1286,1345,1391,1426,1463,1508,1582,1771,2057,2598
11,Chittagong,Comilla,2019,1,1,2,2,4,8,9,14,14,14,15,17,19,21,25,27,27,1,32,39,41,1,42,4,1,47,4,1,81,4,93,4,99,4,104,4,105,4,105,4,112,4,130,4,135,150,169,171,182,186,225,259,278,298,371,400,482,771,1195
18,Dhaka,Gazipur,3033,1,1,1,1,2,12,35,53,53,98,117,161,173,269,269,269,292,1,294,261,308,1,315,0,1,318,0,1,320,0,322,0,322,0,322,0,324,0,325,0,326,0,328,0,328,330,332,333,338,347,460,490,509,527,535,539,544,635,1165
38,Dhaka,Munshiganj,3059,0,0,0,0,0,11,17,21,21,26,27,33,33,33,54,61,63,0,63,62,72,0,78,3,0,82,3,0,82,3,110,4,112,4,122,4,126,4,127,4,161,4,170,4,178,210,212,216,216,217,283,297,297,329,383,400,581,698,985
12,Chittagong,Cox's Bazar,2022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,6,6,13,1,13,0,1,19,0,1,20,0,23,0,37,0,37,0,37,0,37,0,39,0,40,0,53,72,77,83,95,107,127,139,161,185,199,232,329,636,969
48,Chittagong,Noakhali,2075,0,0,0,0,0,0,0,0,1,2,2,3,3,4,4,4,4,0,4,5,5,0,5,1,0,6,1,0,6,1,6,1,9,1,9,1,15,1,17,1,21,1,22,1,23,27,27,30,48,59,69,89,103,113,168,199,373,574,838
62,Sylhet,Sylhet,6091,0,0,0,1,1,1,1,1,1,3,3,3,3,4,4,4,6,0,11,11,12,0,14,2,0,16,2,0,16,2,18,2,18,2,18,2,18,2,18,2,24,2,27,2,27,28,28,36,36,39,39,39,40,48,48,48,155,292,676
39,Mymensingh,Mymensingh,4561,0,0,0,0,4,5,5,7,7,9,18,19,21,33,40,63,68,0,68,87,92,0,108,2,0,117,2,0,125,2,143,2,145,2,145,2,150,2,166,3,169,3,198,3,201,204,212,221,233,246,262,276,284,295,340,351,380,489,571
